cod,mun,Total,Urbana,Rural,Totalp,Urbanap,Ruralp,nonindpop2010
1100015,Alta Floresta D'Oeste,436,100,336,1.8,0.7,3.2,23956
1100023,Ariquemes,202,140,62,0.2,0.2,0.4,90151
1100031,Cabixi,2,2,0,0,0.1,0,6311
1100049,Cacoal,1316,307,1009,1.7,0.5,6.1,77258
1100056,Cerejeiras,17,16,1,0.1,0.1,0,17012
1100064,Colorado do Oeste,10,10,0,0.1,0.1,0,18581
1100072,Corumbiara,16,5,11,0.2,0.2,0.2,8767
1100080,Costa Marques,224,207,17,1.6,2.8,0.3,13454
1100098,Espigão D'Oeste,391,61,330,1.4,0.3,4.1,28338
1100106,Guajará-Mirim,3998,228,3770,9.6,0.6,58.5,37658
1100114,Jaru,67,33,34,0.1,0.1,0.2,51938
1100122,Ji-Paraná,1130,205,925,1,0.2,7.9,115480
1100130,Machadinho D'Oeste,32,21,11,0.1,0.1,0.1,31103
1100148,Nova Brasilândia D'Oeste,69,11,58,0.3,0.1,0.5,19805
1100155,Ouro Preto do Oeste,113,109,4,0.3,0.4,0,37815
1100189,Pimenta Bueno,331,89,242,1,0.3,5.5,33491
1100205,Porto Velho,1411,766,645,0.3,0.2,1.7,427116
1100254,Presidente Médici,27,23,4,0.1,0.2,0,22292
1100262,Rio Crespo,1,0,1,0,0,0,3315
1100288,Rolim de Moura,83,81,2,0.2,0.2,0,50565
1100296,Santa Luzia D'Oeste,9,7,2,0.1,0.2,0,8877
1100304,Vilhena,476,217,259,0.6,0.3,6.5,75726
1100320,São Miguel do Guaporé,126,27,99,0.6,0.3,0.7,21702
1100338,Nova Mamoré,310,21,289,1.4,0.2,3,22236
1100346,Alvorada D'Oeste,15,10,5,0.1,0.1,0.1,16838
1100379,Alto Alegre dos Parecis,53,4,49,0.4,0.1,0.5,12763
1100403,Alto Paraíso,16,6,10,0.1,0.1,0.1,17119
1100452,Buritis,39,31,8,0.1,0.2,0.1,32344
1100502,Novo Horizonte do Oeste,30,0,30,0.3,0,0.4,10210
1100601,Cacaulândia,5,1,4,0.1,0,0.1,5731
1100700,Campo Novo de Rondônia,9,6,3,0.1,0.2,0,12656
1100809,Candeias do Jamari,13,8,5,0.1,0.1,0.1,19766
1100908,Castanheiras,0,0,0,0,0,0,
1100924,Chupinguaia,235,29,206,2.8,0.8,4.4,8066
1100940,Cujubim,3,2,1,0,0,0,15851
1101005,Governador Jorge Teixeira,86,0,86,0.8,0,1.1,10426
1101104,Itapuã do Oeste,25,16,9,0.3,0.3,0.3,8541
1101203,Ministro Andreazza,17,4,13,0.2,0.1,0.2,10335
1101302,Mirante da Serra,162,7,155,1.4,0.1,2.9,11716
1101401,Monte Negro,12,9,3,0.1,0.1,0,14079
1101435,Nova União,0,0,0,0,0,0,
1101450,Parecis,35,3,32,0.7,0.2,1.1,4775
1101468,Pimenteiras do Oeste,14,14,0,0.6,1.1,0,2301
1101476,Primavera de Rondônia,8,3,5,0.2,0.2,0.2,3516
1101484,São Felipe D'Oeste,5,0,5,0.1,0,0.1,6013
1101492,São Francisco do Guaporé,379,34,345,2.4,0.4,4.4,15656
1101500,Seringueiras,13,9,4,0.1,0.2,0.1,11616
1101559,Teixeirópolis,17,7,10,0.3,0.4,0.3,4871
1101609,Theobroma,9,1,8,0.1,0.1,0.1,10640
